               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,           0.0081476,            0.003882,                   0,             0.99909,                   1,               0.995,              0.9483,           0.0045048,           0.0027585,                   0,            0.001684,            0.001684,            0.001684
                  86,           0.0082948,           0.0043553,                   0,             0.99908,                   1,               0.995,             0.94308,            0.005133,           0.0028205,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0083939,           0.0040905,                   0,             0.99907,                   1,               0.995,             0.95532,           0.0046124,           0.0027628,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0078301,           0.0040765,                   0,             0.99907,                   1,               0.995,             0.95429,           0.0044214,            0.002687,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0078983,           0.0037627,                   0,             0.99908,                   1,               0.995,             0.95674,           0.0043553,           0.0027575,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.007733,           0.0037611,                   0,             0.99907,                   1,               0.995,             0.95414,           0.0048882,           0.0028591,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.007447,           0.0038287,                   0,             0.99906,                   1,               0.995,             0.95997,           0.0041367,           0.0026364,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0073873,           0.0040172,                   0,             0.99907,                   1,               0.995,             0.96209,           0.0040592,           0.0026212,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0068274,           0.0038495,                   0,             0.99906,                   1,               0.995,             0.96588,           0.0042819,           0.0026584,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0071031,           0.0037126,                   0,             0.99906,                   1,               0.995,             0.96455,           0.0041283,           0.0026813,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0075938,           0.0041895,                   0,             0.99908,                   1,               0.995,             0.96243,           0.0042725,           0.0026417,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0072758,           0.0041172,                   0,             0.99908,                   1,               0.995,             0.95417,           0.0043091,           0.0026112,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0065181,           0.0042057,                   0,             0.99909,                   1,               0.995,             0.95911,            0.004177,           0.0025654,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0065246,           0.0035627,                   0,             0.99908,                   1,               0.995,             0.96039,           0.0042239,           0.0025806,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0069158,           0.0034379,                   0,             0.99908,                   1,               0.995,             0.95742,           0.0042297,           0.0025773,                   0,            0.000298,            0.000298,            0.000298
